Noun,Denominal,Non-denominal,Others
מטבח,למטבח ,לטבח להתטבח ,לטבוח להטביח 
מטבח,להתמטבח ,לטבח להתטבח ,לטבוח להטביח 
מע"מ,למע"מ ,לע"מ להתע"מ ,לע"ומ להע"ימ 
מע"מ,להתמע"מ ,לע"מ להתע"מ ,לע"ומ להע"ימ 
אפסון,להתאפסן ,לאפס להתאפס ,לאפוס להאפיס 
אפסון,להתאפסן ,לפסן להתפסן ,לפסון להפסין 
מגדר,למגדר ,לגדר להתגדר ,לגדור להגדיר 
מגדר,להתמגדר ,לגדר להתגדר ,לגדור להגדיר 
מחצלת,למחצל ,לחצל להתחצל ,לחצול להחציל 
מחצלת,להתמחצל ,לחצל להתחצל ,לחצול להחציל 
אברך,לאברך ,לברך להתברך ,לברוך להבריך 
אברך,להתאברך ,לברך להתברך ,לברוך להבריך 
משאל,למשאל ,לשאל להתשאל ,לשאול להשאיל 
משאל,להתמשאל ,לשאל להתשאל ,לשאול להשאיל 
קפטן,לקפטן ,לקפט להתקפט ,לקפוט להקפיט 
קפטן,להתקפטן ,לקפט להתקפט ,לקפוט להקפיט 
מאכלת,למאכל ,לאכל להתאכל ,לאכול להאכיל 
מאכלת,להתמאכל ,לאכל להתאכל ,לאכול להאכיל 
משטר,למשטר ,לשטר להתשטר ,לשטור להשטיר 
משטר,להתמשטר ,לשטר להתשטר ,לשטור להשטיר 
שנתון,לשנתן ,לשנת להתשנת ,לשנות להשנית 
שנתון,להתשנתן ,לשנת להתשנת ,לשנות להשנית 
תפזורת,לתפזר ,לפזר להתפזר ,לפזור להפזיר 
מפרקת,למפרק ,לפרק להתפרק ,לפרוק להפריק 
מפרקת,להתמפרק ,לפרק להתפרק ,לפרוק להפריק 
תבנית,לתבנת ,לבנת להתבנת ,לבנות להבנית 
מגדל,למגדל ,לגדל להתגדל ,לגדול להגדיל 
מגדל,להתמגדל ,לגדל להתגדל ,לגדול להגדיל 
תספורת,לתספר ,לספר להתספר ,לספור להספיר 
משמעת,למשמע ,לשמע להתשמע ,לשמוע להשמיע 
משמעת,להתמשמע ,לשמע להתשמע ,לשמוע להשמיע 
אבחה,לאבחה ,לבחה להתבחה ,לבחוה להבחיה 
אבחה,להתאבחה ,לבחה להתבחה ,לבחוה להבחיה 
מאזן,למאזן ,למאז להתמאז ,למאוז להמאיז 
מאזן,להתמאזן ,למאז להתמאז ,למאוז להמאיז 
מאזן,למאזן ,לאזן להתאזן ,לאזון להאזין 
מאזן,להתמאזן ,לאזן להתאזן ,לאזון להאזין 
אגמון,לאגמן ,לאגמ להתאגמ ,לאגומ להאגימ 
אגמון,להתאגמן ,לאגמ להתאגמ ,לאגומ להאגימ 
אגמון,לאגמן ,לגמן להתגמן ,לגמון להגמין 
אגמון,להתאגמן ,לגמן להתגמן ,לגמון להגמין 
נבחן,להתנבחן ,לנבח להתנבח ,לנבוח להנביח 
תלמוד,לתלמד ,ללמד להתלמד ,ללמוד להלמיד 
מנשר,למנשר ,לנשר להתנשר ,לנשור להנשיר 
מנשר,להתמנשר ,לנשר להתנשר ,לנשור להנשיר 
אחסנה,לאחסנ ,לחסנ להתחסנ ,לחסונ להחסינ 
אחסנה,להתאחסנ ,לחסנ להתחסנ ,לחסונ להחסינ 
מבזק,למבזק ,לבזק להתבזק ,לבזוק להבזיק 
מבזק,להתמבזק ,לבזק להתבזק ,לבזוק להבזיק 
מעצר,למעצר ,לעצר להתעצר ,לעצור להעציר 
מעצר,להתמעצר ,לעצר להתעצר ,לעצור להעציר 
תחליף,לתחלף ,לחלף להתחלף ,לחלוף להחליף 
אברה,לאברה ,לברה להתברה ,לברוה להבריה 
אברה,להתאברה ,לברה להתברה ,לברוה להבריה 
אג"ח,לאג"ח ,לג"ח להתג"ח ,לג"וח להג"יח 
אג"ח,להתאג"ח ,לג"ח להתג"ח ,לג"וח להג"יח 
מקרן,למקרן ,למקר להתמקר ,למקור להמקיר 
מקרן,להתמקרן ,למקר להתמקר ,למקור להמקיר 
מקרן,למקרן ,לקרן להתקרן ,לקרון להקרין 
מקרן,להתמקרן ,לקרן להתקרן ,לקרון להקרין 
אגדה,לאגדה ,לגדה להתגדה ,לגדוה להגדיה 
אגדה,להתאגדה ,לגדה להתגדה ,לגדוה להגדיה 
מקצב,למקצב ,לקצב להתקצב ,לקצוב להקציב 
מקצב,להתמקצב ,לקצב להתקצב ,לקצוב להקציב 
מהמר,למהמר ,להמר להתהמר ,להמור לההמיר 
מהמר,להתמהמר ,להמר להתהמר ,להמור לההמיר 
מכתב,למכתב ,לכתב להתכתב ,לכתוב להכתיב 
מכתב,להתמכתב ,לכתב להתכתב ,לכתוב להכתיב 
מרשה,למרשה ,לרשה להתרשה ,לרשוה להרשיה 
מרשה,להתמרשה ,לרשה להתרשה ,לרשוה להרשיה 
מקרא,למקרא ,לקרא להתקרא ,לקרוא להקריא 
מקרא,להתמקרא ,לקרא להתקרא ,לקרוא להקריא 
מחבוש,למחבש ,לחבש להתחבש ,לחבוש להחביש 
מחבוש,להתמחבש ,לחבש להתחבש ,לחבוש להחביש 
אדרת,לאדרת ,לדרת להתדרת ,לדרות להדרית 
אדרת,להתאדרת ,לדרת להתדרת ,לדרות להדרית 
מטפל,למטפל ,לטפל להתטפל ,לטפול להטפיל 
מטפל,להתמטפל ,לטפל להתטפל ,לטפול להטפיל 
משקפת,למשקפ ,לשקפ להתשקפ ,לשקופ להשקיפ 
משקפת,להתמשקפ ,לשקפ להתשקפ ,לשקופ להשקיפ 
מעדן,למעדן ,למעד להתמעד ,למעוד להמעיד 
מעדן,להתמעדן ,למעד להתמעד ,למעוד להמעיד 
מעדן,למעדן ,לעדן להתעדן ,לעדון להעדין 
מעדן,להתמעדן ,לעדן להתעדן ,לעדון להעדין 
תפריט,לתפרט ,לפרט להתפרט ,לפרוט להפריט 
אדנות,לאדנת ,לדנת להתדנת ,לדנות להדנית 
אדנות,להתאדנת ,לדנת להתדנת ,לדנות להדנית 
תסריט,לתסרט ,לסרט להתסרט ,לסרוט להסריט 
כנעני,לכנען ,לכנע להתכנע ,לכנוע להכניע 
כנעני,להתכנען ,לכנע להתכנע ,לכנוע להכניע 
תרכובת,לתרכב ,לרכב להתרכב ,לרכוב להרכיב 
תחזוק,לתחזק ,לחזק להתחזק ,לחזוק להחזיק 
מאהב,למאהב ,לאהב להתאהב ,לאהוב להאהיב 
מאהב,להתמאהב ,לאהב להתאהב ,לאהוב להאהיב 
מאמר,למאמר ,לאמר להתאמר ,לאמור להאמיר 
מאמר,להתמאמר ,לאמר להתאמר ,לאמור להאמיר 
מנשק,למנשק ,לנשק להתנשק ,לנשוק להנשיק 
מנשק,להתמנשק ,לנשק להתנשק ,לנשוק להנשיק 
אגרה,לאגרה ,לגרה להתגרה ,לגרוה להגריה 
אגרה,להתאגרה ,לגרה להתגרה ,לגרוה להגריה 
תברואה,לתברא ,לברא להתברא ,לברוא להבריא 
מפלצת,למפלצ ,לפלצ להתפלצ ,לפלוצ להפליצ 
מפלצת,להתמפלצ ,לפלצ להתפלצ ,לפלוצ להפליצ 
מבצר,למבצר ,לבצר להתבצר ,לבצור להבציר 
מבצר,להתמבצר ,לבצר להתבצר ,לבצור להבציר 
קנקן,לקנקן ,לקנק להתקנק ,לקנוק להקניק 
קנקן,להתקנקן ,לקנק להתקנק ,לקנוק להקניק 
תהליך,לתהלך ,להלך להתהלך ,להלוך לההליך 
מרפסת,למרפס ,לרפס להתרפס ,לרפוס להרפיס 
מרפסת,להתמרפס ,לרפס להתרפס ,לרפוס להרפיס 
מגהץ,למגהץ ,לגהץ להתגהץ ,לגהוץ להגהיץ 
מגהץ,להתמגהץ ,לגהץ להתגהץ ,לגהוץ להגהיץ 
אבדה,לאבדה ,לבדה להתבדה ,לבדוה להבדיה 
אבדה,להתאבדה ,לבדה להתבדה ,לבדוה להבדיה 
אבדון,לאבדן ,לאבד להתאבד ,לאבוד להאביד 
אבדון,להתאבדן ,לאבד להתאבד ,לאבוד להאביד 
אבדון,לאבדן ,לבדן להתבדן ,לבדון להבדין 
אבדון,להתאבדן ,לבדן להתבדן ,לבדון להבדין 
גזלן,לגזלן ,לגזל להתגזל ,לגזול להגזיל 
גזלן,להתגזלן ,לגזל להתגזל ,לגזול להגזיל 
חזרן,לחזרן ,לחזר להתחזר ,לחזור להחזיר 
חזרן,להתחזרן ,לחזר להתחזר ,לחזור להחזיר 
מתאר,למתאר ,לתאר להתתאר ,לתאור להתאיר 
מתאר,להתמתאר ,לתאר להתתאר ,לתאור להתאיר 
מרחב,למרחב ,לרחב להתרחב ,לרחוב להרחיב 
מרחב,להתמרחב ,לרחב להתרחב ,לרחוב להרחיב 
מרפא,למרפא ,לרפא להתרפא ,לרפוא להרפיא 
מרפא,להתמרפא ,לרפא להתרפא ,לרפוא להרפיא 
מפצלת,למפצל ,לפצל להתפצל ,לפצול להפציל 
מפצלת,להתמפצל ,לפצל להתפצל ,לפצול להפציל 
משכב,למשכב ,לשכב להתשכב ,לשכוב להשכיב 
משכב,להתמשכב ,לשכב להתשכב ,לשכוב להשכיב 
משמר,למשמר ,לשמר להתשמר ,לשמור להשמיר 
משמר,להתמשמר ,לשמר להתשמר ,לשמור להשמיר 
מחברת,למחבר ,לחבר להתחבר ,לחבור להחביר 
מחברת,להתמחבר ,לחבר להתחבר ,לחבור להחביר 
תכלית,לתכלת ,לכלת להתכלת ,לכלות להכלית 
תכתובת,לתכתב ,לכתב להתכתב ,לכתוב להכתיב 
מזרק,למזרק ,לזרק להתזרק ,לזרוק להזריק 
מזרק,להתמזרק ,לזרק להתזרק ,לזרוק להזריק 
מדגה,למדגה ,לדגה להתדגה ,לדגוה להדגיה 
מדגה,להתמדגה ,לדגה להתדגה ,לדגוה להדגיה 
מטפס,למטפס ,לטפס להתטפס ,לטפוס להטפיס 
מטפס,להתמטפס ,לטפס להתטפס ,לטפוס להטפיס 
ממרח,לממרח ,למרח להתמרח ,למרוח להמריח 
ממרח,להתממרח ,למרח להתמרח ,למרוח להמריח 
תשדורת,לתשדר ,לשדר להתשדר ,לשדור להשדיר 
מלאות,למלאת ,ללאת להתלאת ,ללאות להלאית 
מלאות,להתמלאת ,ללאת להתלאת ,ללאות להלאית 
גרעון,לגרען ,לגרע להתגרע ,לגרוע להגריע 
גרעון,להתגרען ,לגרע להתגרע ,לגרוע להגריע 
משדר,למשדר ,לשדר להתשדר ,לשדור להשדיר 
משדר,להתמשדר ,לשדר להתשדר ,לשדור להשדיר 
מכנה,למכנה ,לכנה להתכנה ,לכנוה להכניה 
מכנה,להתמכנה ,לכנה להתכנה ,לכנוה להכניה 
מסמך,למסמך ,לסמך להתסמך ,לסמוך להסמיך 
מסמך,להתמסמך ,לסמך להתסמך ,לסמוך להסמיך 
מגזר,למגזר ,לגזר להתגזר ,לגזור להגזיר 
מגזר,להתמגזר ,לגזר להתגזר ,לגזור להגזיר 
מרצח,למרצח ,לרצח להתרצח ,לרצוח להרציח 
מרצח,להתמרצח ,לרצח להתרצח ,לרצוח להרציח 
מהדר,למהדר ,להדר להתהדר ,להדור לההדיר 
מהדר,להתמהדר ,להדר להתהדר ,להדור לההדיר 
רעבון,לרעבן ,לרעב להתרעב ,לרעוב להרעיב 
רעבון,להתרעבן ,לרעב להתרעב ,לרעוב להרעיב 
סהרון,לסהרן ,לסהר להתסהר ,לסהור להסהיר 
סהרון,להתסהרן ,לסהר להתסהר ,לסהור להסהיר 
תשלום,לתשלם ,לשלם להתשלם ,לשלום להשלים 
תכנון,להתתכנן ,לתכנ להתתכנ ,לתכונ להתכינ 
מט"ח,למט"ח ,לט"ח להתט"ח ,לט"וח להט"יח 
מט"ח,להתמט"ח ,לט"ח להתט"ח ,לט"וח להט"יח 
משפט,למשפט ,לשפט להתשפט ,לשפוט להשפיט 
משפט,להתמשפט ,לשפט להתשפט ,לשפוט להשפיט 
מקנה,למקנה ,לקנה להתקנה ,לקנוה להקניה 
מקנה,להתמקנה ,לקנה להתקנה ,לקנוה להקניה 
אתרוג,לאתרג ,לתרג להתתרג ,לתרוג להתריג 
אתרוג,להתאתרג ,לתרג להתתרג ,לתרוג להתריג 
משבצת,למשבצ ,לשבצ להתשבצ ,לשבוצ להשביצ 
משבצת,להתמשבצ ,לשבצ להתשבצ ,לשבוצ להשביצ 
תחתית,לתחתת ,לחתת להתחתת ,לחתות להחתית 
משפך,למשפך ,לשפך להתשפך ,לשפוך להשפיך 
משפך,להתמשפך ,לשפך להתשפך ,לשפוך להשפיך 
מרדף,למרדף ,לרדף להתרדף ,לרדוף להרדיף 
מרדף,להתמרדף ,לרדף להתרדף ,לרדוף להרדיף 
מחבל,למחבל ,לחבל להתחבל ,לחבול להחביל 
מחבל,להתמחבל ,לחבל להתחבל ,לחבול להחביל 
תכתיב,לתכתב ,לכתב להתכתב ,לכתוב להכתיב 
מתכונת,למתכנ ,לתכנ להתתכנ ,לתכונ להתכינ 
מתכונת,להתמתכנ ,לתכנ להתתכנ ,לתכונ להתכינ 
מכשור,למכשר ,לכשר להתכשר ,לכשור להכשיר 
מכשור,להתמכשר ,לכשר להתכשר ,לכשור להכשיר 
בטלן,לבטלן ,לבטל להתבטל ,לבטול להבטיל 
בטלן,להתבטלן ,לבטל להתבטל ,לבטול להבטיל 
לבנון,ללבנן ,ללבנ להתלבנ ,ללבונ להלבינ 
לבנון,להתלבנן ,ללבנ להתלבנ ,ללבונ להלבינ 
תרחיש,לתרחש ,לרחש להתרחש ,לרחוש להרחיש 
תשלובת,לתשלב ,לשלב להתשלב ,לשלוב להשליב 
מספר,להתמספר ,לספר להתספר ,לספור להספיר 
תמרור,לתמרר ,למרר להתמרר ,למרור להמריר 
מבקש,למבקש ,לבקש להתבקש ,לבקוש להבקיש 
מבקש,להתמבקש ,לבקש להתבקש ,לבקוש להבקיש 
מקדם,למקדם ,לקדם להתקדם ,לקדום להקדים 
מקדם,להתמקדם ,לקדם להתקדם ,לקדום להקדים 
משאב,למשאב ,לשאב להתשאב ,לשאוב להשאיב 
משאב,להתמשאב ,לשאב להתשאב ,לשאוב להשאיב 
אסלה,לאסלה ,לסלה להתסלה ,לסלוה להסליה 
אסלה,להתאסלה ,לסלה להתסלה ,לסלוה להסליה 
אצבע,לאצבע ,לצבע להתצבע ,לצבוע להצביע 
אצבע,להתאצבע ,לצבע להתצבע ,לצבוע להצביע 
אבקה,לאבקה ,לבקה להתבקה ,לבקוה להבקיה 
אבקה,להתאבקה ,לבקה להתבקה ,לבקוה להבקיה 
שלטון,לשלטן ,לשלט להתשלט ,לשלוט להשליט 
שלטון,להתשלטן ,לשלט להתשלט ,לשלוט להשליט 
מפרש,למפרש ,לפרש להתפרש ,לפרוש להפריש 
מפרש,להתמפרש ,לפרש להתפרש ,לפרוש להפריש 
מלקוח,למלקח ,ללקח להתלקח ,ללקוח להלקיח 
מלקוח,להתמלקח ,ללקח להתלקח ,ללקוח להלקיח 
מעבד,למעבד ,לעבד להתעבד ,לעבוד להעביד 
מעבד,להתמעבד ,לעבד להתעבד ,לעבוד להעביד 
משטח,למשטח ,לשטח להתשטח ,לשטוח להשטיח 
משטח,להתמשטח ,לשטח להתשטח ,לשטוח להשטיח 
אשכבה,לאשכב ,לשכב להתשכב ,לשכוב להשכיב 
אשכבה,להתאשכב ,לשכב להתשכב ,לשכוב להשכיב 
מקלע,למקלע ,לקלע להתקלע ,לקלוע להקליע 
מקלע,להתמקלע ,לקלע להתקלע ,לקלוע להקליע 
תשדיר,לתשדר ,לשדר להתשדר ,לשדור להשדיר 
אבטלה,לאבטל ,לבטל להתבטל ,לבטול להבטיל 
אבטלה,להתאבטל ,לבטל להתבטל ,לבטול להבטיל 
מעגל,למעגל ,לעגל להתעגל ,לעגול להעגיל 
מעגל,להתמעגל ,לעגל להתעגל ,לעגול להעגיל 
תענוג,לתענג ,לענג להתענג ,לענוג להעניג 
מחסן,למחסן ,למחס להתמחס ,למחוס להמחיס 
מחסן,להתמחסן ,למחס להתמחס ,למחוס להמחיס 
מחסן,למחסן ,לחסן להתחסן ,לחסון להחסין 
מחסן,להתמחסן ,לחסן להתחסן ,לחסון להחסין 
דרכון,לדרכן ,לדרכ להתדרכ ,לדרוכ להדריכ 
דרכון,להתדרכן ,לדרכ להתדרכ ,לדרוכ להדריכ 
מצפן,למצפן ,למצפ להתמצפ ,למצופ להמציפ 
מצפן,להתמצפן ,למצפ להתמצפ ,למצופ להמציפ 
מצפן,למצפן ,לצפן להתצפן ,לצפון להצפין 
מצפן,להתמצפן ,לצפן להתצפן ,לצפון להצפין 
חטפן,לחטפן ,לחטפ להתחטפ ,לחטופ להחטיפ 
חטפן,להתחטפן ,לחטפ להתחטפ ,לחטופ להחטיפ 
דרבון,לדרבן ,לדרב להתדרב ,לדרוב להדריב 
דרבון,להתדרבן ,לדרב להתדרב ,לדרוב להדריב 
אנקול,לאנקל ,לנקל להתנקל ,לנקול להנקיל 
אנקול,להתאנקל ,לנקל להתנקל ,לנקול להנקיל 
חמצן,לחמצן ,לחמצ להתחמצ ,לחמוצ להחמיצ 
חמצן,להתחמצן ,לחמצ להתחמצ ,לחמוצ להחמיצ 
משעול,למשעל ,לשעל להתשעל ,לשעול להשעיל 
משעול,להתמשעל ,לשעל להתשעל ,לשעול להשעיל 
מטפחת,למטפח ,לטפח להתטפח ,לטפוח להטפיח 
מטפחת,להתמטפח ,לטפח להתטפח ,לטפוח להטפיח 
תרשומת,לתרשמ ,לרשמ להתרשמ ,לרשומ להרשימ 
משקולת,למשקל ,לשקל להתשקל ,לשקול להשקיל 
משקולת,להתמשקל ,לשקל להתשקל ,לשקול להשקיל 
תהפוכה,לתהפכ ,להפכ להתהפכ ,להפוכ לההפיכ 
צרכן,לצרכן ,לצרכ להתצרכ ,לצרוכ להצריכ 
צרכן,להתצרכן ,לצרכ להתצרכ ,לצרוכ להצריכ 
כתבן,לכתבן ,לכתב להתכתב ,לכתוב להכתיב 
כתבן,להתכתבן ,לכתב להתכתב ,לכתוב להכתיב 
תלבושת,לתלבש ,ללבש להתלבש ,ללבוש להלביש 
מסחור,להתמסחר ,לסחר להתסחר ,לסחור להסחיר 
מרבד,למרבד ,לרבד להתרבד ,לרבוד להרביד 
מרבד,להתמרבד ,לרבד להתרבד ,לרבוד להרביד 
מחשך,למחשך ,לחשך להתחשך ,לחשוך להחשיך 
מחשך,להתמחשך ,לחשך להתחשך ,לחשוך להחשיך 
מחלה,למחלה ,לחלה להתחלה ,לחלוה להחליה 
מחלה,להתמחלה ,לחלה להתחלה ,לחלוה להחליה 
מסרק,למסרק ,לסרק להתסרק ,לסרוק להסריק 
מסרק,להתמסרק ,לסרק להתסרק ,לסרוק להסריק 
מתרס,למתרס ,לתרס להתתרס ,לתרוס להתריס 
מתרס,להתמתרס ,לתרס להתתרס ,לתרוס להתריס 
ממטר,לממטר ,למטר להתמטר ,למטור להמטיר 
ממטר,להתממטר ,למטר להתמטר ,למטור להמטיר 
מפלט,למפלט ,לפלט להתפלט ,לפלוט להפליט 
מפלט,להתמפלט ,לפלט להתפלט ,לפלוט להפליט 
קבצן,לקבצן ,לקבצ להתקבצ ,לקבוצ להקביצ 
קבצן,להתקבצן ,לקבצ להתקבצ ,לקבוצ להקביצ 
מחמד,למחמד ,לחמד להתחמד ,לחמוד להחמיד 
מחמד,להתמחמד ,לחמד להתחמד ,לחמוד להחמיד 
משאה,למשאה ,לשאה להתשאה ,לשאוה להשאיה 
משאה,להתמשאה ,לשאה להתשאה ,לשאוה להשאיה 
מלכודת,להתמלכד ,ללכד להתלכד ,ללכוד להלכיד 
מטלה,למטלה ,לטלה להתטלה ,לטלוה להטליה 
מטלה,להתמטלה ,לטלה להתטלה ,לטלוה להטליה 
תרבות,לתרבת ,לרבת להתרבת ,לרבות להרבית 
מצפה,למצפה ,לצפה להתצפה ,לצפוה להצפיה 
מצפה,להתמצפה ,לצפה להתצפה ,לצפוה להצפיה 
מגרד,למגרד ,לגרד להתגרד ,לגרוד להגריד 
מגרד,להתמגרד ,לגרד להתגרד ,לגרוד להגריד 
טפלון,לטפלן ,לטפל להתטפל ,לטפול להטפיל 
טפלון,להתטפלן ,לטפל להתטפל ,לטפול להטפיל 
מגבר,למגבר ,לגבר להתגבר ,לגבור להגביר 
מגבר,להתמגבר ,לגבר להתגבר ,לגבור להגביר 
תחביב,לתחבב ,לחבב להתחבב ,לחבוב להחביב 
מסננת,למסננ ,לסננ להתסננ ,לסנונ להסנינ 
מסננת,להתמסננ ,לסננ להתסננ ,לסנונ להסנינ 
מנחת,למנחת ,לנחת להתנחת ,לנחות להנחית 
מנחת,להתמנחת ,לנחת להתנחת ,לנחות להנחית 
מגשר,למגשר ,לגשר להתגשר ,לגשור להגשיר 
מגשר,להתמגשר ,לגשר להתגשר ,לגשור להגשיר 
משקל,למשקל ,לשקל להתשקל ,לשקול להשקיל 
משקל,להתמשקל ,לשקל להתשקל ,לשקול להשקיל 
תחלואה,לתחלא ,לחלא להתחלא ,לחלוא להחליא 
שחקן,לשחקן ,לשחק להתשחק ,לשחוק להשחיק 
שחקן,להתשחקן ,לשחק להתשחק ,לשחוק להשחיק 
מאמן,למאמן ,למאמ להתמאמ ,למאומ להמאימ 
מאמן,להתמאמן ,למאמ להתמאמ ,למאומ להמאימ 
מאמן,למאמן ,לאמן להתאמן ,לאמון להאמין 
מאמן,להתמאמן ,לאמן להתאמן ,לאמון להאמין 
מסלול,למסלל ,לסלל להתסלל ,לסלול להסליל 
מסלול,להתמסלל ,לסלל להתסלל ,לסלול להסליל 
מחנק,למחנק ,לחנק להתחנק ,לחנוק להחניק 
מחנק,להתמחנק ,לחנק להתחנק ,לחנוק להחניק 
מהלך,למהלך ,להלך להתהלך ,להלוך לההליך 
מהלך,להתמהלך ,להלך להתהלך ,להלוך לההליך 
מארב,למארב ,לארב להתארב ,לארוב להאריב 
מארב,להתמארב ,לארב להתארב ,לארוב להאריב 
מקרה,למקרה ,לקרה להתקרה ,לקרוה להקריה 
מקרה,להתמקרה ,לקרה להתקרה ,לקרוה להקריה 
מלבן,למלבן ,למלב להתמלב ,למלוב להמליב 
מלבן,להתמלבן ,למלב להתמלב ,למלוב להמליב 
מלבן,למלבן ,ללבן להתלבן ,ללבון להלבין 
מלבן,להתמלבן ,ללבן להתלבן ,ללבון להלבין 
התקן,להתקן ,להתק להתהתק ,להתוק לההתיק 
התקן,להתהתקן ,להתק להתהתק ,להתוק לההתיק 
נאמן,להתנאמן ,לנאמ להתנאמ ,לנאומ להנאימ 
מכחול,למכחל ,לכחל להתכחל ,לכחול להכחיל 
מכחול,להתמכחל ,לכחל להתכחל ,לכחול להכחיל 
מדחן,למדחן ,למדח להתמדח ,למדוח להמדיח 
מדחן,להתמדחן ,למדח להתמדח ,למדוח להמדיח 
מדחן,למדחן ,לדחן להתדחן ,לדחון להדחין 
מדחן,להתמדחן ,לדחן להתדחן ,לדחון להדחין 
משפח,למשפח ,לשפח להתשפח ,לשפוח להשפיח 
משפח,להתמשפח ,לשפח להתשפח ,לשפוח להשפיח 
מזמור,למזמר ,לזמר להתזמר ,לזמור להזמיר 
מזמור,להתמזמר ,לזמר להתזמר ,לזמור להזמיר 
מצפור,למצפר ,לצפר להתצפר ,לצפור להצפיר 
מצפור,להתמצפר ,לצפר להתצפר ,לצפור להצפיר 
אמנון,לאמנן ,לאמנ להתאמנ ,לאמונ להאמינ 
אמנון,להתאמנן ,לאמנ להתאמנ ,לאמונ להאמינ 
אמנון,לאמנן ,למנן להתמנן ,למנון להמנין 
אמנון,להתאמנן ,למנן להתמנן ,למנון להמנין 
סחטן,לסחטן ,לסחט להתסחט ,לסחוט להסחיט 
סחטן,להתסחטן ,לסחט להתסחט ,לסחוט להסחיט 
מצמוץ,להתמצמץ ,לצמץ להתצמץ ,לצמוץ להצמיץ 
מצרף,למצרף ,לצרף להתצרף ,לצרוף להצריף 
מצרף,להתמצרף ,לצרף להתצרף ,לצרוף להצריף 
אמ"ן,לאמ"ן ,לאמ" להתאמ" ,לאמו" להאמי" 
אמ"ן,להתאמ"ן ,לאמ" להתאמ" ,לאמו" להאמי" 
אמ"ן,לאמ"ן ,למ"ן להתמ"ן ,למ"ון להמ"ין 
אמ"ן,להתאמ"ן ,למ"ן להתמ"ן ,למ"ון להמ"ין 
מג"ב,למג"ב ,לג"ב להתג"ב ,לג"וב להג"יב 
מג"ב,להתמג"ב ,לג"ב להתג"ב ,לג"וב להג"יב 
תאגוד,לתאגד ,לאגד להתאגד ,לאגוד להאגיד 
תזרים,לתזרם ,לזרם להתזרם ,לזרום להזרים 
טלפן,להתטלפן ,לטלפ להתטלפ ,לטלופ להטליפ 
תחשיב,לתחשב ,לחשב להתחשב ,לחשוב להחשיב 
מצבור,למצבר ,לצבר להתצבר ,לצבור להצביר 
מצבור,להתמצבר ,לצבר להתצבר ,לצבור להצביר 
אהדה,לאהדה ,להדה להתהדה ,להדוה לההדיה 
אהדה,להתאהדה ,להדה להתהדה ,להדוה לההדיה 
מצ"ח,למצ"ח ,לצ"ח להתצ"ח ,לצ"וח להצ"יח 
מצ"ח,להתמצ"ח ,לצ"ח להתצ"ח ,לצ"וח להצ"יח 
תחלופה,לתחלפ ,לחלפ להתחלפ ,לחלופ להחליפ 
אזעקה,לאזעק ,לזעק להתזעק ,לזעוק להזעיק 
אזעקה,להתאזעק ,לזעק להתזעק ,לזעוק להזעיק 
תסביך,לתסבך ,לסבך להתסבך ,לסבוך להסביך 
מנחש,למנחש ,לנחש להתנחש ,לנחוש להנחיש 
מנחש,להתמנחש ,לנחש להתנחש ,לנחוש להנחיש 
אמנות,לאמנת ,למנת להתמנת ,למנות להמנית 
אמנות,להתאמנת ,למנת להתמנת ,למנות להמנית 
מאסר,למאסר ,לאסר להתאסר ,לאסור להאסיר 
מאסר,להתמאסר ,לאסר להתאסר ,לאסור להאסיר 
הנהון,להתהנהן ,להנה להתהנה ,להנוה לההניה 
משמע,למשמע ,לשמע להתשמע ,לשמוע להשמיע 
משמע,להתמשמע ,לשמע להתשמע ,לשמוע להשמיע 
חדשן,לחדשן ,לחדש להתחדש ,לחדוש להחדיש 
חדשן,להתחדשן ,לחדש להתחדש ,לחדוש להחדיש 
אפקט,לאפקט ,לפקט להתפקט ,לפקוט להפקיט 
אפקט,להתאפקט ,לפקט להתפקט ,לפקוט להפקיט 
מחסור,למחסר ,לחסר להתחסר ,לחסור להחסיר 
מחסור,להתמחסר ,לחסר להתחסר ,לחסור להחסיר 
משכון,להתמשכן ,למשכ להתמשכ ,למשוכ להמשיכ 
משכון,להתמשכן ,לשכן להתשכן ,לשכון להשכין 
תאגיד,לתאגד ,לאגד להתאגד ,לאגוד להאגיד 
מגבעת,למגבע ,לגבע להתגבע ,לגבוע להגביע 
מגבעת,להתמגבע ,לגבע להתגבע ,לגבוע להגביע 
אשמה,לאשמה ,לשמה להתשמה ,לשמוה להשמיה 
אשמה,להתאשמה ,לשמה להתשמה ,לשמוה להשמיה 
חלפן,לחלפן ,לחלפ להתחלפ ,לחלופ להחליפ 
חלפן,להתחלפן ,לחלפ להתחלפ ,לחלופ להחליפ 
תרפים,לתרפם ,לרפם להתרפם ,לרפום להרפים 
תחזוקה,לתחזק ,לחזק להתחזק ,לחזוק להחזיק 
מנגל,להתמנגל ,לנגל להתנגל ,לנגול להנגיל 
מכאוב,למכאב ,לכאב להתכאב ,לכאוב להכאיב 
מכאוב,להתמכאב ,לכאב להתכאב ,לכאוב להכאיב 
מכנס,למכנס ,לכנס להתכנס ,לכנוס להכניס 
מכנס,להתמכנס ,לכנס להתכנס ,לכנוס להכניס 
מסעף,למסעף ,לסעף להתסעף ,לסעוף להסעיף 
מסעף,להתמסעף ,לסעף להתסעף ,לסעוף להסעיף 
